시도명,시군구명,행정동명,기준연월,세대수,남자인구수,여자인구수,행정통수,데이터기준일자
서울특별시,마포구,공덕동,2454-06-06,18442,16731,19278,43,2025-04-24
서울특별시,마포구,아현동,2454-06-06,12358,13447,15550,26,2025-04-24
서울특별시,마포구,도화동,2454-06-06,9290,9657,10743,21,2025-04-24
서울특별시,마포구,용강동,2454-06-06,9241,9897,11293,20,2025-04-24
서울특별시,마포구,대흥동,2454-06-06,8640,6837,7407,22,2025-04-24
서울특별시,마포구,염리동,2454-06-06,7740,7995,8808,19,2025-04-24
서울특별시,마포구,신수동,2454-06-06,10095,10742,11375,22,2025-04-24
서울특별시,마포구,서강동,2454-06-06,12238,11691,12770,30,2025-04-24
서울특별시,마포구,서교동,2454-06-06,15184,10881,12902,38,2025-04-24
서울특별시,마포구,합정동,2454-06-06,9109,7345,8647,23,2025-04-24
서울특별시,마포구,망원1동,2454-06-06,10075,8621,10032,24,2025-04-24
서울특별시,마포구,망원2동,2454-06-06,8291,8089,9384,21,2025-04-24
서울특별시,마포구,연남동,2454-06-06,8340,6547,7520,22,2025-04-24
서울특별시,마포구,성산1동,2454-06-06,9628,8511,10028,21,2025-04-24
서울특별시,마포구,성산2동,2454-06-06,19728,17015,21434,38,2025-04-24
서울특별시,마포구,상암동,2454-06-06,12758,13712,15631,28,2025-04-24
